Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	10	39800	41648	40811	43140	41764	38991	40224	38106	37686	41367
1	20	38290	38860	38712	40302	39970	36824	37914	36109	36514	40844
1	30	37001	35746	37149	38954	39016	35332	35739	34167	36097	39566
1	40	34074	34468	35002	35415	36443	34258	33573	34053	35512	39566
1	50	32532	33409	32789	35415	34612	32327	31695	33841	33902	39566
1	60	31687	32756	32084	35187	32418	31660	29520	33841	33902	39566
1	70	30676	30891	30493	35095	32418	30268	29222	33598	33902	39275
1	80	29368	30640	29550	33899	32418	29862	28784	32824	33902	37529
1	90	29104	29840	29391	33250	32418	27882	27066	32655	33017	37529
1	100	28731	29239	28755	33216	31242	27710	26997	32655	33017	37529
1	110	28378	27336	27894	33216	31242	26835	25383	31183	33017	37529
1	120	28158	27323	27208	33053	30760	25785	24905	31122	32988	37529
1	130	27560	26313	26932	33053	30541	25635	23945	30497	32988	37529
1	140	27539	26313	26905	33053	27285	25482	22512	30188	32988	37529
1	150	27311	26193	25965	33053	27285	24425	21920	30188	32216	37529
1	160	27311	26193	25791	33053	27285	24373	21920	30119	31954	37529
1	170	27109	26007	25791	33053	27285	23985	21920	30119	31954	37529
1	180	26768	26007	25791	32570	27285	23985	21447	29867	31954	35678
1	190	26768	25190	25791	32570	26661	23825	20999	29867	31954	35678
1	200	26768	24189	25726	32570	26272	23825	20999	29867	31083	35387
1	210	26768	24070	24919	32570	26272	23422	20860	29867	30527	35387
1	220	26768	23154	23728	32570	26272	23422	20860	29599	30527	35387
1	230	26768	23154	23728	32188	26255	22943	20212	29599	30345	35387
1	240	26768	21518	23497	32181	25695	22596	19324	29599	30345	35387
1	250	26549	21518	23194	31526	25574	22547	19324	29549	30345	35387
1	260	26450	21518	23194	31526	25391	22447	19324	29549	30345	35387
1	270	26450	21481	23127	31440	25391	22447	19192	29506	30345	35387
1	280	26182	21481	22736	31440	23662	21113	18209	29506	30345	35387
1	290	25935	21481	22720	31440	23424	20467	18209	29506	30345	35387
1	300	25935	21401	22526	31440	23424	20467	18209	28997	30345	35387
1	310	25757	21337	21838	31440	22867	19929	18209	28997	30127	35387
1	320	25757	20780	21838	31440	22867	19636	18209	28997	30127	35387
1	330	25757	20780	21575	30799	22867	19353	18209	28934	30127	35387
1	340	25757	20384	20706	30799	22867	19353	18017	28677	30127	35387
1	350	25757	20384	20405	30603	22200	19131	18017	28677	30127	35387
1	360	25650	20120	20405	30603	22200	19131	17610	28677	30127	35387
1	370	25650	20120	20109	30603	22200	18583	17610	28259	30127	35387
1	380	25650	20120	19750	30603	22115	18380	17610	28259	29814	35387
1	390	25115	20120	19750	30603	22115	18380	17610	28259	29321	35387
1	400	25115	20120	19473	30603	22115	17991	17610	28259	28857	35387
1	410	25115	18730	18954	30603	22115	17991	17610	26926	28857	35387
1	420	25115	18730	18907	30603	22115	17991	17610	26926	28857	35387
1	430	25115	18730	18907	30603	21633	17991	17341	26517	28857	35387
1	440	25115	18480	18907	30603	21633	17991	17311	25707	28857	35387
1	450	25115	18480	18677	30603	21633	17991	17311	25707	28857	35387
1	460	25115	18426	18276	30603	21284	17552	17142	25707	28337	35387
1	470	25115	18400	18171	30603	21284	17552	17142	25528	28337	35387
1	480	25115	18400	18056	30361	21284	17447	17142	25391	28337	35387
1	490	25115	18400	17407	30361	21284	17403	17142	25391	28337	35387
1	500	25115	18400	17407	30361	21284	17403	17142	25391	27614	35387
1	510	25115	18400	17407	30361	21163	17403	16973	25391	27614	35387
1	520	25115	18400	17407	30361	21098	17165	16973	25105	27614	35387
1	530	25115	17964	16805	30361	21098	17068	16973	25105	27614	35387
1	540	25115	17964	16805	30361	20676	17068	16973	25105	27614	35387
1	550	25115	17964	16805	30361	20676	17068	16973	25105	27614	35387
1	560	25115	17964	16805	30361	20676	16646	16949	25105	27405	35387
1	570	25115	17845	16805	30361	20676	16646	16949	25105	27405	35387
1	580	25115	17845	16288	30361	20676	16646	16949	25105	27405	35387
1	590	25021	17560	16218	30361	20676	16646	16892	25105	27405	35387
1	600	25021	17437	16218	30361	20676	16646	16892	24933	27405	35387
1	610	25021	17437	15967	30361	20676	16482	16892	24933	27405	35387
1	620	25021	17437	15967	30361	20676	16346	16676	24933	27405	35387
1	630	25021	17437	15821	30213	20676	16346	16676	24933	27292	35387
1	640	25021	17437	15821	30213	20676	15929	16676	24933	27292	35387
1	650	25021	17437	15821	30213	20676	15913	16676	24933	27292	35387
1	660	25021	17245	15372	30213	20415	15913	16676	24933	27292	35387
1	670	25021	17028	15372	30213	20002	15913	16676	24933	27292	35387
1	680	25021	17028	14942	30213	20002	15888	16676	24933	27292	35387
1	690	25021	17028	14857	30213	20002	15833	16360	24933	27292	35387
1	700	25021	16881	14681	30213	20002	15452	16360	24933	27292	35387
1	710	25021	16881	14681	30213	20002	15452	16360	24933	27292	35387
1	720	25021	16881	14615	30213	19966	14576	16360	24933	27292	35222
1	730	25021	16881	14082	30213	19758	14540	16360	24862	27292	35222
1	740	25021	16881	14011	30213	19758	14540	15646	24862	27292	35222
1	750	25021	16881	14011	30213	19434	14540	15646	24826	26913	35222
1	760	25021	16881	13921	30213	19434	14540	15646	24826	26913	35222
1	770	25021	16881	13921	30213	19434	14399	15646	24826	26913	35222
1	780	25021	16881	13921	30213	19140	14183	15646	24826	26913	35222
1	790	25021	16585	13921	30213	19140	14183	15646	24826	26913	35222
1	800	25021	16585	13921	30213	18440	14183	15646	24738	26913	35222
1	810	25021	16585	13921	30213	18440	14183	15554	24583	26913	35222
1	820	25021	16478	13921	30213	18440	14183	15554	24583	26913	35222
1	830	25021	16478	13921	30132	18440	14183	15554	24583	26913	35222
1	840	25021	16383	13921	30036	18440	14129	15554	24583	26913	35222
1	850	25021	16383	13921	30036	18440	14129	15554	24444	26913	35222
1	860	25021	16383	13921	30036	18440	14129	15554	24444	26912	35222
1	870	25021	16383	13799	30036	18440	14129	15554	24444	26317	35222
1	880	25021	16383	13799	30036	18211	14129	15554	24444	25982	35222
1	890	25021	16279	13799	30036	18211	14129	15554	24444	25982	35222
1	900	25021	16279	13799	30036	18211	14129	14671	24444	25982	35222
1	910	25021	16279	13799	30036	18211	14129	14671	24444	25982	35222
1	920	25021	16279	13799	30036	18211	14129	14671	24169	25703	35222
1	930	25021	16279	13799	30036	17891	13665	14541	23934	25703	35222
1	940	25021	16279	13799	30036	17891	13665	14541	23934	25703	35222
1	950	25021	16279	13799	30036	17732	13665	14541	23934	25703	35222
1	960	25021	15708	13799	30036	17732	13665	14541	23934	25703	35222
1	970	25021	15708	13628	30036	17732	13527	14541	23244	25703	35222
1	980	25021	15240	13366	30036	17732	13527	14541	23244	25703	35222
1	990	25021	15240	13366	30036	17732	13527	14501	23244	25703	35222
1	1000	25021	15240	13316	30036	17732	13262	14501	23244	25365	35222
2	10	41325	38613	38170	40200	40499	41963	40398	40715	40601	41353
2	20	37454	35661	36063	37786	38137	38280	37992	38716	40184	39842
2	30	35940	33376	35712	37007	36876	35743	32769	36952	39744	39842
2	40	34509	33042	33700	36800	35621	33999	31991	35279	39317	39842
2	50	33336	30937	32106	35497	35621	31779	30718	33896	38187	39842
2	60	32235	30282	29470	35497	35621	30420	30509	32311	37810	38187
2	70	30854	27793	27597	34090	35388	30162	29072	32276	36953	37108
2	80	30381	27793	25865	33992	34071	29045	28330	32189	36953	37108
2	90	29099	25462	25637	32827	33919	28630	27098	30443	36701	37108
2	100	28460	25462	24679	32827	33828	27565	27063	30443	36701	37108
2	110	27737	25061	23953	32827	33828	27565	26116	30326	36659	37108
2	120	27663	25061	22457	32527	31906	27565	26116	29951	36113	37108
2	130	27570	24883	21227	31936	31330	27565	25716	28794	36113	36497
2	140	27570	24883	21227	29265	31088	27016	25313	28794	36113	36497
2	150	27455	24438	21004	29265	30571	25963	25313	28794	36113	36497
2	160	27418	24438	20695	28863	30354	25702	25313	28794	36007	36497
2	170	27418	23739	20343	28242	30354	25702	25313	28560	36007	36497
2	180	27418	22481	20271	28242	30354	25702	24013	27540	36007	36497
2	190	27418	22481	20271	28242	29835	24363	23696	26938	34587	36497
2	200	27418	22481	20271	28242	29835	24363	23301	26938	31938	36497
2	210	27418	22481	20271	28242	29835	23351	23301	26906	31273	36497
2	220	27344	22168	19844	28242	29835	23255	23301	25924	31273	36497
2	230	27344	22168	19844	28242	29835	23070	23301	25322	31273	36497
2	240	27344	22125	19696	28242	29835	23070	23301	25322	31273	36497
2	250	27344	21806	18654	28242	29835	23070	23301	24914	31273	36497
2	260	27344	21806	18320	27727	29835	22209	22763	24914	31273	36497
2	270	27216	21806	18288	27727	29835	21794	22763	24914	31273	36497
2	280	27216	21721	18198	27727	29835	21749	22763	24914	31273	36497
2	290	26728	21721	17976	27727	28328	21494	22763	24914	31273	36497
2	300	26728	21496	17974	27529	28328	21335	22298	24914	31238	36497
2	310	26728	21496	17500	27529	27556	21335	22293	24331	31238	36497
2	320	26728	21325	16807	27529	27556	19970	22293	24331	30607	36497
2	330	26728	21325	16807	27529	27414	19970	21176	24331	29819	36497
2	340	26692	20977	16807	27529	27414	19759	21176	24064	29819	36497
2	350	26584	20231	16807	27498	27414	19759	21028	24064	29819	36497
2	360	26584	19981	16807	27498	27414	19297	21028	24064	28825	36497
2	370	26584	19981	16807	27498	27414	19088	21014	24064	28825	36497
2	380	26584	19904	16807	27498	27028	19088	20935	24064	28825	36497
2	390	26584	19392	16291	27498	25138	18882	19956	23827	28825	36497
2	400	26584	18989	16291	27498	25138	18881	19956	23827	28825	36497
2	410	26584	18989	16291	27498	24785	18556	19956	23827	28825	36497
2	420	26473	18921	16107	27498	24025	18556	19956	23550	28825	36497
2	430	26473	18921	16107	27498	23939	18088	19956	23017	28825	36497
2	440	26473	18917	16001	27498	22556	18088	19956	23017	28825	36497
2	450	26473	18917	16001	27498	22556	18088	19626	22725	28825	36497
2	460	26473	18917	16001	27498	22433	18038	19626	22725	28689	36497
2	470	26473	18753	16001	27498	22403	18038	19419	22352	28689	36497
2	480	26473	18753	16001	27498	22403	18038	19416	22352	28471	36497
2	490	26473	18753	16001	27498	22403	17125	19416	22352	28471	36497
2	500	26473	18564	16001	27498	22403	17125	19416	22352	28471	36497
2	510	26008	18564	16001	27498	22403	16678	19081	21516	28471	36497
2	520	26008	17965	16001	27498	22246	16678	19081	21516	28290	36497
2	530	26008	17954	16001	27498	22084	16436	19081	21051	28290	36497
2	540	26008	17844	16001	27498	22084	16436	18438	21051	28290	36497
2	550	26008	17844	16001	27498	22084	16436	18438	21051	28290	36497
2	560	26008	17713	16001	27498	22042	16436	18438	21051	27839	36497
2	570	25579	17713	16001	27498	22042	15777	18374	21051	27839	36497
2	580	25579	17713	16001	27164	22019	15777	18374	21051	27839	36497
2	590	25579	17713	15882	27164	22019	15560	18374	21051	27839	36497
2	600	25063	17713	15678	27082	22019	15172	18374	21051	27839	36497
2	610	25063	17713	15678	27082	22019	15172	17652	20979	27839	36497
2	620	25063	17634	15678	27082	22019	15172	17652	20979	27839	36497
2	630	25063	17634	15678	27082	21879	15172	17652	20177	27839	36497
2	640	25063	17634	15678	27082	21566	15172	17498	20071	27839	36497
2	650	25063	17634	15678	27082	21566	15172	17266	20071	27839	36497
2	660	25063	17055	15678	27082	21566	15172	17266	19978	27839	36497
2	670	25063	17055	15678	27082	21566	14945	16978	19978	27839	36497
2	680	25063	17055	15678	27082	21563	14932	16544	19978	27839	36497
2	690	25063	16801	15387	27082	21563	14497	16544	19978	27839	36497
2	700	25063	16801	15387	27082	21563	14156	16304	19978	27839	36497
2	710	25063	16698	15387	27082	21563	14005	16304	19978	27694	36497
2	720	25063	16690	15387	27082	21100	14005	16239	19895	27694	36255
2	730	25063	16690	15338	27082	21021	13724	16239	19594	27694	36255
2	740	25063	16690	15338	26914	20665	13724	16239	19594	27493	36255
2	750	25063	16690	15338	26914	20665	13724	16239	19594	27493	36255
2	760	25063	16690	15338	26914	20189	13296	16239	19222	27493	36255
2	770	25063	16447	15338	26914	20189	13276	16239	19191	27281	36255
2	780	25063	16447	15338	26914	20189	13125	16239	19191	27281	36255
2	790	25063	16447	15338	26914	20189	13125	16239	19191	27281	36255
2	800	25063	16447	15305	26914	20189	13125	16239	19191	27281	36255
2	810	25063	16447	14962	26914	20020	13107	16239	19191	27281	36255
2	820	25063	16375	14962	26914	20020	13107	15493	19191	27281	36255
2	830	25063	16375	14962	26914	20020	13107	15493	19191	27281	36255
2	840	25063	16375	14793	26914	19492	13107	15031	19191	27061	36255
2	850	25063	16375	14471	26914	19492	13107	15031	19191	27061	36255
2	860	25063	16375	14471	26914	19027	13107	15031	19191	27061	36255
2	870	25063	16375	14471	26914	19027	13107	15031	19191	27061	36255
2	880	25063	16375	14471	26914	19027	13107	15031	19191	27061	36255
2	890	25063	16375	14471	26914	19027	13107	14749	19191	27061	36255
2	900	25063	16375	14471	26914	19027	13107	14749	19191	27061	36255
2	910	25063	16102	14471	26914	18894	13107	14749	19191	27061	36255
2	920	25063	16102	14471	26914	18894	13107	14749	19191	27061	36255
2	930	25063	16102	14471	26914	18703	13107	14749	19191	27061	36255
2	940	25063	16102	14471	26914	18703	13107	14749	19191	27061	36255
2	950	25063	16102	14219	26914	18703	13107	14749	19191	27061	36255
2	960	25063	16102	14219	26914	18703	13107	14749	19191	27061	36255
