Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	10	94	95	95	95	94	93	95	96	95	95
1	20	94	94	95	94	94	93	95	95	93	94
1	30	94	92	94	94	94	93	95	94	93	94
1	40	94	91	93	92	94	92	95	94	92	94
1	50	94	91	91	92	94	92	95	93	92	93
1	60	94	90	91	92	94	92	91	92	92	93
1	70	94	89	91	92	94	92	91	91	92	93
1	80	94	89	91	92	94	92	91	91	92	93
1	90	93	87	91	92	94	92	91	90	92	92
1	100	93	86	91	92	94	92	91	90	92	92
1	110	93	84	91	91	94	92	90	89	92	92
1	120	93	84	91	91	94	92	90	89	92	92
1	130	93	83	91	91	94	92	90	89	92	92
1	140	93	82	91	91	94	92	90	89	92	92
1	150	93	81	91	91	93	92	90	89	92	91
1	160	93	80	91	91	93	92	90	89	92	91
1	170	93	80	91	91	93	92	90	88	91	87
1	180	93	79	91	90	93	92	90	87	91	87
1	190	93	79	91	90	93	92	90	86	91	87
1	200	93	79	91	90	93	91	90	86	90	87
1	210	93	78	91	90	93	91	90	86	90	87
1	220	93	77	91	88	93	91	90	85	90	87
1	230	93	77	91	88	93	91	90	85	90	87
1	240	93	77	91	88	93	91	90	85	90	87
1	250	93	77	91	88	93	91	90	85	89	87
1	260	93	77	91	88	93	90	90	85	89	87
1	270	93	76	91	88	93	90	90	85	89	87
1	280	93	76	91	88	93	90	90	85	89	87
1	290	93	76	91	88	93	90	90	85	89	87
1	300	93	76	91	88	93	90	90	85	89	87
1	310	93	76	91	88	93	90	90	84	89	86
1	320	93	75	91	88	93	90	90	83	89	86
1	330	93	75	91	88	93	90	90	82	89	86
1	340	93	75	91	88	93	90	90	81	89	86
1	350	93	75	91	88	93	90	90	81	89	86
1	360	93	74	91	88	93	90	89	81	88	86
1	370	93	72	91	88	93	90	89	79	88	85
1	380	93	71	91	88	93	90	89	79	88	85
1	390	93	71	91	88	93	90	89	79	88	85
1	400	93	71	91	88	93	90	89	79	88	85
1	410	93	71	91	88	93	90	89	79	88	85
1	420	93	69	91	88	93	90	89	79	88	85
1	430	93	68	91	88	93	90	89	78	88	85
1	440	93	68	91	88	93	90	89	78	88	85
1	450	93	67	91	88	93	90	89	78	88	85
1	460	93	67	91	88	93	90	89	78	88	85
1	470	93	67	91	88	92	90	89	78	87	85
1	480	93	67	91	88	92	90	89	78	87	85
1	490	93	65	91	88	92	90	89	78	87	85
1	500	93	65	91	88	92	90	89	78	87	85
1	510	93	65	91	88	92	90	87	78	87	85
1	520	93	65	91	88	92	90	87	78	87	85
1	530	93	65	91	88	92	90	87	78	87	85
1	540	93	65	91	88	92	90	87	78	87	85
1	550	93	65	91	88	92	90	87	78	87	84
1	560	93	65	91	88	92	90	87	78	87	84
1	570	93	65	91	88	92	90	87	78	87	84
1	580	93	65	91	88	92	90	87	77	87	84
1	590	93	65	91	88	92	90	87	77	87	84
1	600	93	65	91	88	92	89	87	77	87	84
1	610	93	65	91	88	92	89	87	77	87	84
1	620	93	65	91	88	92	89	87	76	86	84
1	630	93	65	91	88	92	89	87	76	86	84
1	640	93	65	91	88	92	89	87	76	86	84
1	650	93	64	90	88	92	89	87	76	86	84
1	660	93	63	90	88	92	89	87	76	84	84
1	670	93	63	90	88	92	89	87	75	84	84
1	680	93	63	90	88	92	89	87	75	84	83
1	690	93	63	89	88	92	89	87	75	83	83
1	700	93	62	89	88	92	89	87	75	83	83
1	710	93	62	89	88	92	89	87	75	83	83
1	720	93	61	89	88	92	89	87	75	83	83
1	730	93	61	89	88	92	89	87	74	83	83
1	740	93	61	89	88	92	89	87	74	83	83
1	750	93	60	89	88	92	89	87	74	83	83
1	760	93	60	89	88	92	89	87	72	83	83
1	770	93	60	89	88	92	89	87	72	83	83
1	780	93	60	89	88	92	89	87	72	83	83
1	790	93	60	89	88	92	89	87	72	83	83
1	800	93	59	89	88	92	89	87	72	83	83
1	810	93	59	89	88	92	89	87	72	83	83
1	820	93	59	89	88	92	89	87	72	83	82
1	830	93	58	89	88	92	89	87	69	83	82
1	840	93	58	89	88	92	89	87	69	83	82
1	850	92	57	89	88	92	89	87	69	83	82
1	860	92	57	89	88	92	89	87	69	83	82
