Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	1	2220	2114	2116	2024	2132	2186	2190	2036	2060	2072
1	10	2212	2008	1998	1956	2046	1940	2098	1858	2004	2072
1	100	2134	1404	1330	1656	1930	1700	1890	1534	1820	1774
1	1000	1566	388	250	1004	1678	900	1472	804	854	1606
1	10000	1076	100	8	264	1346	170	654	200	516	1356
2	1	2264	2146	2080	2096	2132	2056	2156	2092	2128	2092
2	10	2258	1968	1908	1940	1992	1866	1904	1992	2070	2036
2	100	2174	1298	1262	1666	1848	1422	1732	1408	1780	1672
2	1000	1582	350	312	818	1616	808	1394	730	852	1514
2	10000	898	100	22	182	1314	180	806	120	484	1300
3	1	2190	2044	2158	2070	2210	2006	2032	2154	2102	2102
3	10	2184	2034	2064	1894	2064	1938	1968	2002	2010	1778
3	100	2124	1176	1240	1624	1886	1716	1772	1388	1464	1700
3	1000	1548	340	290	1170	1734	942	1494	800	878	1386
3	10000	850	0	32	222	1402	150	808	286	606	1362
4	1	1976	2066	2036	2034	2070	2216	2088	2122	2190	2116
4	10	1968	1966	1960	2000	2060	2034	2058	1874	2090	1980
4	100	1884	1232	1254	1718	1834	1612	1888	1348	1714	1838
4	1000	1380	308	208	1140	1516	852	1588	718	878	1478
4	10000	956	100	20	374	1130	122	804	246	658	1336
5	1	2176	2154	2152	2036	2132	2082	2128	2166	2156	2162
5	10	2166	2006	1998	1920	1932	2066	2036	2014	2048	2068
5	100	2078	1338	1244	1502	1678	1678	1790	1442	1766	1816
5	1000	1490	368	268	1050	1628	976	1494	716	800	1602
5	10000	782	100	8	230	1334	124	782	160	570	1258
6	1	2096	2136	2138	2028	2132	2142	2170	2094	2088	2140
6	10	2090	2030	2066	1986	2076	2072	2010	1970	1938	1980
6	100	2008	1340	1322	1770	1986	1672	1906	1484	1630	1844
6	1000	1436	362	276	898	1758	892	1514	796	840	1622
6	10000	844	100	22	432	1248	186	848	218	462	1318
7	1	2228	1996	2148	2080	2126	2176	2024	2178	2156	2112
7	10	2220	1920	2070	2014	2042	2088	2008	2022	2000	1992
7	100	2134	1218	1446	1768	1898	1810	1740	1464	1658	1742
7	1000	1528	384	336	1128	1620	1084	1474	638	844	1580
7	10000	896	100	0	244	1302	158	908	176	410	1352
