Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	1	2125	1986	2144	2057	1952	1882	2012	1887	2005	1920
1	10	2119	1875	1965	1853	1952	1768	1912	1803	1918	1833
1	100	2063	1134	1115	1553	1706	1482	1618	1304	1360	1618
1	1000	1659	187	192	708	1564	655	1218	639	246	1456
1	10000	0	0	0	0	1395	64	586	94	0	1157
2	1	2094	2095	2145	2066	2010	2048	2019	2041	1971	1845
2	10	2088	1879	2060	1977	1964	1934	1882	1876	1810	1845
2	100	2035	924	1215	1551	1782	1501	1578	1274	1257	1816
2	1000	1590	184	205	692	1460	606	1208	622	352	1446
2	10000	0	0	0	0	1361	51	431	54	0	1282
3	1	2107	2025	2144	2106	2029	2007	2001	2004	2047	1958
3	10	2102	1951	1994	1960	1956	1867	1827	1720	2005	1958
3	100	2052	1097	1116	1505	1761	1422	1601	1082	1422	1639
3	1000	1634	190	185	619	1642	579	1062	595	264	1425
3	10000	0	0	0	0	1281	49	485	81	0	1194
4	1	2147	1968	2034	2035	2028	2043	2039	1908	2101	2035
4	10	2141	1800	1872	1917	1947	1870	1908	1714	1849	1899
4	100	2091	1270	1030	1348	1897	1427	1551	1354	1347	1634
4	1000	1659	193	141	546	1735	704	1140	631	378	1440
4	10000	0	0	0	0	1446	52	507	50	0	1095
5	1	2138	1984	2109	1873	2005	2147	2038	2060	1985	2011
5	10	2134	1802	2039	1825	1935	2015	1967	2003	1861	1919
5	100	2094	1024	1238	1488	1856	1485	1610	1093	1420	1745
5	1000	1673	199	209	608	1574	672	1292	540	345	1385
5	10000	0	0	0	0	1278	62	572	81	0	1254
6	1	2013	2063	2108	1891	2008	2104	1960	2036	2112	1963
6	10	2007	1899	2004	1787	1952	1890	1929	1869	1919	1893
6	100	1957	1271	1132	1565	1586	1511	1517	1209	1268	1599
6	1000	1539	266	174	724	1507	678	1093	653	288	1409
6	10000	0	0	0	0	1092	53	463	68	0	1244
7	1	1929	2023	2073	2067	2042	2016	2080	2083	2098	2061
7	10	1923	1894	1921	1883	1967	1881	1818	1917	1950	1868
7	100	1876	976	1220	1489	1596	1436	1689	1398	1317	1651
7	1000	1453	219	171	576	1523	717	1236	577	289	1433
7	10000	0	0	0	0	1315	51	458	84	0	1185
8	1	2043	2069	2039	2000	2085	2143	1955	1998	2132	2063
8	10	2039	1891	1951	1950	1812	2024	1945	1790	1833	1931
8	100	1990	1018	1090	1691	1733	1720	1541	1224	1364	1597
8	1000	1582	209	135	719	1710	705	1048	627	373	1455
8	10000	0	0	0	0	1400	44	350	64	0	1216
