MEANS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	42626.49	42672.47	42765.71	42413.55	42405.71	42697.41	42452.03	42474.38	42486.47	42121.14
10	40117.96	39842.00	39997.53	40129.53	39979.87	40013.74	39560.25	39423.34	40084.68	40512.90
100	31280.43	27674.27	27439.51	34254.98	32829.33	27018.06	27242.71	31227.67	34858.59	38273.74
1000	26290.23	15289.28	13920.88	26519.64	18530.22	12811.83	14892.43	20833.86	25997.55	35609.24
10000	22511.30	9563.03	8031.46	18899.60	8048.78	5950.06	8185.44	12737.27	17876.72	32453.49

STDEVS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	1021.08	1145.42	1196.35	1078.42	1229.66	1194.29	1082.06	1243.19	1138.48	1238.23
10	1185.55	1309.65	1274.12	1068.98	1175.56	1284.93	1453.21	1329.61	1243.25	1063.75
100	1739.40	1396.70	1550.24	1475.97	1646.38	1498.91	1469.46	1354.54	1481.81	1072.04
1000	1851.67	866.17	1035.77	1852.22	1235.40	899.40	981.66	1041.90	1514.92	1017.84
10000	1522.28	587.23	648.73	1462.34	574.24	438.73	550.39	772.93	1252.15	999.19
