MEANS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	95.73	95.70	95.63	95.42	95.51	95.55	95.33	95.53	95.56	95.49
10	94.96	94.89	94.43	94.10	94.37	94.19	94.25	94.33	94.17	94.13
100	92.56	87.06	91.73	91.16	93.29	91.83	92.25	86.79	91.13	90.66
1000	90.61	55.90	88.01	85.02	91.97	88.66	89.62	65.64	85.26	84.98
10000	89.15	0.97	81.42	79.18	90.51	84.04	85.23	28.67	78.75	78.32

STDEVS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	0.79	0.83	0.69	0.80	0.77	0.72	0.74	0.82	0.80	0.75
10	0.98	1.03	1.00	0.91	0.78	0.71	0.64	0.99	0.99	0.88
100	1.38	2.11	1.27	1.47	0.73	1.10	1.11	1.76	1.43	1.30
1000	1.69	3.55	1.94	1.83	0.78	1.69	1.54	2.86	1.80	1.50
10000	1.82	1.39	2.46	2.65	1.17	2.23	2.00	3.13	2.63	1.49
