MEANS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	2132.20	2125.03	2124.28	2095.90	2110.75	2114.24	2107.25	2117.74	2110.73	2108.00
10	2124.38	2006.02	2018.91	1997.52	2019.45	1991.98	2002.97	1976.75	1991.56	1993.33
100	2048.08	1317.76	1303.60	1676.42	1882.36	1674.08	1806.99	1406.34	1627.09	1794.63
1000	1483.64	368.46	282.55	1012.59	1675.43	946.28	1445.49	746.63	849.47	1563.94
10000	860.48	90.91	16.93	296.65	1306.71	155.21	799.74	180.83	525.60	1353.58

STDEVS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	66.41	50.94	66.84	61.55	59.54	67.29	62.74	68.42	58.45	53.47
10	66.35	58.93	74.13	61.25	50.10	69.41	59.56	71.99	60.18	67.21
100	67.25	70.30	70.44	78.05	58.56	101.71	70.55	72.10	90.86	61.80
1000	74.84	39.29	26.84	94.03	79.12	84.52	94.87	61.57	97.73	51.86
10000	117.98	80.93	11.63	87.32	94.41	23.15	83.58	34.79	113.23	49.34
