MEANS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	2062.15	2054.54	2055.86	2035.18	2018.20	2026.95	2012.65	2035.61	2041.94	2020.49
10	2056.39	1901.81	1939.27	1898.20	1930.56	1878.64	1896.41	1865.99	1882.19	1898.40
100	2007.36	1161.56	1169.41	1490.13	1771.15	1478.15	1616.60	1247.07	1341.55	1668.34
1000	1592.45	228.05	173.02	635.05	1596.80	663.01	1166.59	582.97	333.86	1420.53
10000	0.00	0.00	0.00	1.04	1356.18	56.55	466.56	72.32	0.11	1196.89

STDEVS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	72.76	72.03	71.28	66.47	64.04	66.70	66.88	74.12	69.36	64.85
10	73.01	86.86	77.11	73.92	55.65	72.67	70.62	85.94	72.57	62.84
100	72.94	91.14	83.24	82.75	76.99	90.74	83.06	85.73	87.15	70.60
1000	76.89	30.71	22.78	84.43	93.01	68.35	92.78	55.51	52.83	51.87
10000	0.00	0.00	0.00	4.89	93.67	9.15	56.68	14.71	1.11	54.80
