MEANS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	42578.32	42610.29	42352.82	42375.95	42607.88	42482.80	42458.13	42230.47	42544.77	42321.88
10	40214.37	39573.41	39754.05	39900.94	39919.76	39771.44	39649.51	39360.99	40191.70	40519.89
100	31201.98	27579.88	27489.91	26239.31	26673.13	26453.24	27265.07	31073.76	35060.95	38112.59
1000	26695.04	15493.47	14191.33	10322.81	12931.70	12986.79	15096.53	20838.66	25388.77	35504.91
10000	24077.82	9569.35	8474.67	4353.75	6073.28	6366.94	8398.81	12891.49	17338.78	32697.65

STDEVS
Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	1222.59	1195.04	1332.98	1727.29	1435.35	1355.17	1261.86	1415.49	1236.49	1417.57
10	1297.76	1249.53	1394.58	1810.57	1623.26	1314.92	1405.29	1467.09	1198.52	1180.68
100	1942.92	1494.49	1409.60	1552.93	1414.90	1452.63	1505.97	1650.66	1630.17	1142.81
1000	2096.51	1013.95	999.40	813.11	837.32	850.41	976.11	1267.77	1548.07	1117.81
10000	1855.07	686.62	634.38	395.80	440.31	492.94	597.36	956.28	1454.55	934.41
