Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
1	1	42066	42963	43455	42259	42677	42273	42914	42483	41449	45032
1	10	39230	39342	40438	38177	38501	41183	39219	38563	40356	42203
1	100	30343	29480	26638	25748	25317	26794	28025	29935	37493	38902
1	1000	24802	15713	13179	10433	13895	12072	15434	20976	27062	35831
1	10000	23505	9544	8575	4675	6838	6692	8416	14121	18341	33450
2	1	43216	40899	40984	43451	43758	41082	42658	45253	43099	39550
2	10	40970	38055	37958	42493	39823	39458	38546	40700	41055	39550
2	100	27235	28895	26984	26965	24812	28451	26580	32431	38338	39550
2	1000	25347	15501	13701	10738	13441	12097	15870	22103	23890	35722
2	10000	23219	9662	8226	4496	6356	6020	9164	13880	16897	33020
3	1	41747	42334	41148	40470	44583	41218	42436	41330	42171	42775
3	10	39575	40180	40560	38370	39170	38971	39431	39437	38664	40509
3	100	32331	27312	26365	24735	25363	26475	26876	27438	34941	39508
3	1000	26968	17461	13934	9314	13238	14516	15283	19797	25702	36303
3	10000	23285	10444	9031	4309	4932	6411	8965	13271	15934	33087
4	1	42387	43035	39911	43197	42557	42638	43664	43184	43308	42805
4	10	38880	40695	38571	42232	41153	38928	41245	39315	38548	41848
4	100	28946	29704	25606	27169	26727	26272	27197	30701	35793	38201
4	1000	24544	17435	14118	10294	12077	12348	13538	21691	23921	37468
4	10000	23380	10160	8317	4028	5419	6291	7645	13138	16908	34149
5	1	43570	42485	40416	43769	41991	44584	43811	41820	42931	35684
5	10	41270	40220	37581	42106	39011	42610	40123	38938	40898	35684
5	100	33444	29435	26929	26912	26445	27099	28794	32734	34793	35684
5	1000	28972	16746	14204	10293	12909	14208	16631	21321	26134	35684
5	10000	26453	10269	8158	4881	6002	6530	7704	12376	17263	32873
6	1	42689	41726	41028	43293	42912	42463	43666	39973	42678	42797
6	10	40291	38472	37932	40762	40370	39946	41055	37798	41401	40641
6	100	33904	26990	25898	27160	26047	25861	27899	30714	36535	39068
6	1000	27303	15539	15384	11037	14402	10986	16863	21635	26171	36949
6	10000	24338	10334	7716	4188	5626	5675	7888	12139	17526	35033
7	1	43268	42710	42457	39688	41187	42516	44034	41777	42171	44585
7	10	41422	40571	37374	38468	39718	40393	40637	40340	41591	41127
7	100	32315	25613	27956	26183	25970	26338	25094	32038	35113	39541
7	1000	27147	16778	15203	10425	13562	13817	15954	21745	24885	37246
7	10000	25624	9037	9759	4252	5497	5775	9109	13208	16315	33393
8	1	43113	45418	43604	44026	41819	44957	44402	43604	43911	44857
8	10	40559	42367	41242	41031	38641	42754	43211	42182	37056	41435
8	100	32947	26996	28113	27423	27992	28652	30538	30871	34195	38729
8	1000	28320	13734	13783	9268	13625	12319	15702	19453	25289	35536
8	10000	23706	8467	9433	4476	6337	5918	8649	11678	18614	33098
9	1	42993	41805	42847	43575	42796	41667	40859	39951	41695	41115
9	10	40673	40719	39875	40761	38936	38589	38448	37023	39451	38184
9	100	31957	28295	29040	28642	26892	25296	28250	31432	34076	36667
9	1000	25487	15710	14896	12238	13545	12689	14046	20028	23219	36614
9	10000	22912	9807	8696	4765	6773	6903	9408	13089	16907	33309
10	1	43092	40374	41708	40094	41901	42052	43386	42002	42563	39534
10	10	40779	39010	37208	38661	39704	40144	40748	40149	41066	38240
10	100	34108	29495	27427	24932	26015	28361	26299	29993	30383	36902
10	1000	29020	15596	13403	9665	12354	12098	14950	20238	22472	33788
10	10000	24745	9691	8559	3413	5337	5223	7510	12624	16092	31803
11	1	42535	40989	42556	43079	42877	40321	40372	40648	43380	41684
11	10	40632	38783	39150	40824	40658	38478	38442	37573	41298	40817
11	100	32376	25774	27297	28178	25358	24774	25133	29617	35731	36791
11	1000	28457	14309	12215	8808	12840	10938	13245	20010	26357	34081
11	10000	27175	8974	7697	4291	6117	5963	7863	12316	17129	32032
12	1	42877	44517	44315	42594	42969	43387	41569	41902	42951	40487
12	10	40114	38670	39646	40049	39384	40674	38527	40054	40649	39332
12	100	31220	28885	27767	25512	24322	24537	27902	31776	37275	38047
12	1000	26911	15698	13559	9119	12695	12090	15260	22046	26078	36722
12	10000	25196	10168	8638	3873	5950	6267	7577	14603	17247	32188
13	1	40494	42565	42080	42654	43214	40887	39971	41853	43384	43174
13	10	38888	37734	40885	40982	39362	39214	35608	38118	41412	41439
13	100	28282	29806	26068	29008	25323	28100	26536	32722	36096	38521
13	1000	24322	15393	13014	10148	13072	13246	14684	23390	25361	37420
13	10000	23690	9225	8489	4603	6788	6576	8787	14109	18692	33170
14	1	42592	40664	41779	42928	41572	41243	43541	42648	41682	40804
14	10	40753	36963	37455	39101	39802	37879	41375	38054	39934	40529
14	100	32419	26841	25154	24051	26073	22725	26554	27363	35389	37474
14	1000	26934	13389	14604	10888	12729	12831	15175	19479	26979	35596
14	10000	25709	8238	6997	4407	5696	6828	8086	12321	17684	31755
15	1	42989	43982	43438	44303	40449	43989	41874	43347	43115	44082
15	10	40407	40058	42464	41407	37158	40124	37886	39843	40446	41391
15	100	33187	26907	30973	27146	27946	27208	29634	31363	36597	37575
15	1000	28372	14575	15356	9949	14285	12556	16007	19390	25617	36126
15	10000	25730	9647	8604	5489	6486	6608	9075	13836	16911	31727
16	1	44452	42220	43511	41686	41208	43219	42581	39562	39751	42452
16	10	41261	39905	41405	38998	40159	40985	39583	35375	39751	39879
16	100	34025	26066	27524	25740	25822	27324	27422	29176	37313	35153
16	1000	28967	13166	14731	8902	12978	12297	15869	18011	24702	34730
16	10000	26273	9506	7199	4581	5292	5713	7653	12737	16471	30018
17	1	42745	41908	42459	41063	43588	41891	42116	41785	41848	42446
17	10	40126	38615	39823	38679	40470	37649	38421	39630	39074	41590
17	100	32312	25919	28433	26858	25811	27559	25329	32830	36907	39614
17	1000	27527	16020	13472	11740	12496	12363	15431	19563	22258	36459
17	10000	27161	8970	7801	4633	5720	6238	8368	15181	16828	33359
18	1	42857	43687	42125	45111	42283	44810	43316	44816	41065	44737
18	10	40907	40180	40176	41435	39798	42312	40932	40594	40266	40956
18	100	31073	26049	26260	25707	27528	25524	29349	32015	39273	39662
18	1000	28838	15411	15282	10895	12396	12845	15220	21057	27985	35572
18	10000	25051	9881	9440	4461	5749	6877	8626	14396	18744	32083
19	1	42722	43861	42175	43056	42185	41366	39828	39974	43423	41330
19	10	39595	39741	39201	40345	38377	38814	37357	37633	41063	40126
19	100	31070	28067	25289	25639	27851	24323	27872	33652	33615	37242
19	1000	27168	14990	13322	10219	12421	13411	16075	20341	20906	34695
19	10000	25171	8775	8324	4202	6191	6820	8349	12474	17494	33295
20	1	42488	42316	42606	42826	41784	42224	42808	41267	41743	41576
20	10	40572	37105	40100	40870	38432	40329	41053	37366	38339	38858
20	100	31864	25371	28632	27756	26415	26331	27763	30328	34482	38668
20	1000	27052	13933	13281	10711	12170	11728	15188	18933	24526	36406
20	10000	26074	8963	8235	5062	6098	6658	8482	11937	17334	31868
21	1	43136	43940	41490	43907	41811	42238	41009	44116	44557	42867
21	10	39568	40574	39345	42962	41188	39479	38983	38092	41101	41729
21	100	32846	29953	29144	29891	28869	27069	28107	30932	35743	40827
21	1000	29375	15742	14798	9652	13777	12597	14532	21555	25948	36265
21	10000	25955	10181	8856	3964	6256	6820	9022	12126	18554	33630
22	1	42895	42026	42932	42716	44081	44163	44352	42670	38502	42995
22	10	41023	38752	40716	40018	41563	41527	41148	40097	38502	40950
22	100	32308	27208	28830	25701	25185	26401	28459	31890	31574	38621
22	1000	30486	16455	12770	10301	12330	12382	15343	21486	24017	34756
22	10000	24938	10549	8343	4058	6045	6071	8300	12940	17203	33197
23	1	43524	43268	42820	45469	43153	42932	41357	41135	42716	42938
23	10	42418	41019	41160	41309	40547	37931	38669	40738	40327	42098
23	100	33817	29188	26964	27355	25887	27244	26090	31749	34328	39506
23	1000	30084	16683	13399	11848	11750	13074	15322	20689	25660	35339
23	10000	24074	9973	9629	4029	5582	5964	8226	12636	14834	31008
24	1	44769	43571	42345	42458	44680	43564	44549	40164	41976	43053
24	10	43182	38483	40262	39811	42078	41509	41241	35314	40971	40427
24	100	32648	28422	28045	26699	27861	27244	27922	27886	37041	38722
24	1000	28520	16452	15610	10104	14222	13641	15598	19710	28012	35296
24	10000	26653	10730	8092	5502	6153	6605	8962	13313	18957	33142
25	1	41481	41870	41177	42343	42049	41156	41216	42936	43934	42039
25	10	37960	39854	38469	39932	39229	38737	39170	39656	40116	40019
25	100	28575	29117	27937	24569	25174	24956	26635	30140	36001	36748
25	1000	25160	16157	12375	10055	12394	12383	14197	19199	25282	36050
25	10000	22626	9322	7196	3979	6046	5404	8351	11272	13633	33619
26	1	38971	43117	42796	41395	43406	42959	43021	42166	43933	41285
26	10	37426	40510	41115	37248	40829	40500	40987	39143	40374	40737
26	100	30600	30123	27263	26782	27683	27109	24181	31474	34379	38612
26	1000	22902	15264	14113	9860	13667	12567	13417	21172	22228	35796
26	10000	21244	9120	8709	3890	5972	6756	7156	12151	14586	32127
27	1	43305	43807	40246	42066	40738	37711	40914	42509	42229	42679
27	10	41645	39464	37921	40141	38212	36326	37817	39883	37559	40991
27	100	33151	28172	31039	26856	27645	26260	24223	30763	36302	38633
27	1000	28472	15664	15077	9952	13727	12468	16671	20929	26355	36898
27	10000	24073	10243	9264	3923	6473	6140	8317	11462	15572	33367
28	1	42832	43517	42208	42730	42349	42120	40259	43158	42719	41818
28	10	39349	39557	40289	39765	39984	38863	38630	40831	40092	39507
28	100	30343	28241	28486	25769	26349	24092	29349	29792	35853	38235
28	1000	27276	13907	14882	9674	13057	13513	14858	22189	25296	33967
28	10000	24617	8895	8809	3978	6048	5497	8336	13570	18509	32811
29	1	40958	43381	42642	43974	44021	42991	43190	40434	42824	41206
29	10	39411	39834	40238	41886	42972	39215	40720	40434	39773	40729
29	100	31335	26445	29438	24836	26715	26424	28346	32574	36486	36704
29	1000	25373	15178	15462	9552	12922	14347	13835	21730	26660	35802
29	10000	24090	10086	9063	4512	6324	7517	8948	13084	18413	32016
30	1	44135	40702	42292	44629	39402	42965	42392	44852	42727	44277
30	10	41741	38305	39129	41903	37285	40815	39305	40487	39526	40009
30	100	29096	28210	26790	28595	28156	27453	29565	33515	37572	39486
30	1000	26855	16831	14263	12466	13504	13498	15871	22110	27494	35928
30	10000	23476	9988	8802	4565	6134	7252	9793	13449	19229	33595
31	1	43177	42245	43219	43948	42571	44433	43159	42728	42583	42710
31	10	42453	36942	41377	41132	40016	38687	39140	37816	41693	41446
